instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,2,0.1,full_mip,—,,343,1105,1105,100.0,0.34,0.0,0.966,0.966,1.0,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.34,0.001,0.012,0.013,76.7,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.34,0.001,0.018,0.018,52.79,1.1436,37.0,1160.13,5.27,996.72,1160.13,81.705,15.15,"[1160.13, 996.72]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,combined,1,343,1105,26,2.35,0.34,0.002,0.007,0.008,116.3,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,blended,1,343,1105,13,1.18,0.34,0.002,0.005,0.007,136.99,0.8368,0.25,1092.52,-0.86,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,blended_union,1,343,1105,31,2.81,0.34,0.021,0.016,0.037,26.24,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,diverse,1,343,1105,13,1.18,0.34,0.008,0.013,0.021,46.82,0.8368,0.25,1092.52,-0.86,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.34,0.008,0.035,0.042,22.93,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,time_balanced_weight,2,343,1105,20,1.81,0.34,0.005,0.012,0.017,56.94,1.1436,37.0,1160.13,5.27,996.72,1160.13,81.705,15.15,"[1160.13, 996.72]","[6, 7]",13
assembly_1,2,0.1,subgraph_mip,combined,2,343,1105,35,3.17,0.34,0.008,0.025,0.033,29.17,0.8348,0.0,1102.04,0.0,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
