instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,7,0.1,adaptive,1,343,1105,35,3.17,35,0.253,0.013,0.623,0.637,0.8599,0.8329,3.24,,0.8329,0.8329,0.0,408,308.121,32.42,55.98,"[339.12, 244.92, 408, 384, 285.11, 235.5, 260.2]","[2, 1, 2, 3, 2, 1, 2]",13,
assembly_1,7,0.1,adaptive,2,343,1105,41,3.71,6,0.253,0.02,1.078,1.097,0.8599,0.8329,3.24,0.0,0.8329,0.8329,0.0,408,308.121,32.42,55.98,"[339.12, 244.92, 408, 276, 393.11, 235.5, 260.2]","[2, 1, 2, 2, 3, 1, 2]",13,
assembly_1,7,0.1,adaptive,3,343,1105,47,4.25,6,0.253,0.023,1.221,1.244,0.8599,0.8329,3.24,0.0,0.8329,0.8329,0.0,408,308.121,32.42,55.98,"[339.12, 244.92, 408, 276, 393.11, 235.5, 260.2]","[2, 1, 2, 2, 3, 1, 2]",13,
assembly_1,7,0.1,adaptive,4,343,1105,51,4.62,4,0.253,0.036,1.457,1.493,0.8599,0.8329,3.24,0.0,0.8329,0.8329,0.0,408,308.121,32.42,101.84,"[339.12, 244.92, 408, 276, 393.11, 401.5, 94.2]","[2, 1, 2, 2, 3, 2, 1]",13,
assembly_1,7,0.1,adaptive,6,343,1105,60,5.43,9,0.253,0.063,2.085,2.148,0.8594,0.8329,3.18,0.0568,0.8512,0.8329,2.19,345.5,308.121,12.13,32.64,"[339.12, 244.92, 342.48, 332, 278.83, 345.5, 274]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.1,adaptive,8,343,1105,62,5.61,2,0.253,0.058,1.147,1.205,0.8594,0.8329,3.18,0.0,0.8512,0.8329,2.19,345.5,308.121,12.13,32.64,"[339.12, 244.92, 342.48, 332, 278.83, 345.5, 274]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.1,adaptive,12,343,1105,69,6.24,7,0.253,0.118,2.005,2.123,0.855,0.8329,2.65,0.5138,0.8347,0.8329,0.21,384,308.121,24.63,48.2,"[339.12, 244.92, 242, 384, 350.63, 235.5, 360.68]","[2, 1, 1, 3, 2, 1, 3]",13,
assembly_1,7,0.1,adaptive,16,343,1105,78,7.06,9,0.253,0.14,1.856,1.996,0.85,0.8329,2.04,0.5927,0.8361,0.8329,0.38,360.68,308.121,17.06,40.63,"[339.12, 244.92, 350, 276, 350.63, 235.5, 360.68]","[2, 1, 2, 2, 2, 1, 3]",13,
assembly_1,7,0.1,adaptive,24,343,1105,124,11.22,46,0.253,0.227,4.616,4.843,0.8482,0.8329,1.83,0.2109,0.8371,0.8329,0.5,350.63,308.121,13.8,34.31,"[339.12, 244.92, 350, 276, 350.63, 329.7, 266.48]","[2, 1, 2, 2, 2, 2, 2]",13,stop_perc_graph
