instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,6,0.1,full_mip,—,,343,1105,1105,100.0,0.439,0.0,44.154,44.154,1.0,0.8456,0.0,408,0.0,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.1,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.439,0.001,0.687,0.688,64.16,0.8619,1.92,484.48,18.75,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.1,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.439,0.001,0.773,0.774,57.03,1.1501,36.01,444.83,9.03,242,444.83,83.119,56.42,"[242, 244.92, 410.92, 444.83, 412.68, 401.5]","[1, 1, 2, 3, 4, 2]",13
assembly_1,6,0.1,subgraph_mip,combined,1,343,1105,26,2.35,0.439,0.002,1.292,1.294,34.13,0.8619,1.92,484.48,18.75,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.1,subgraph_mip,blended,1,343,1105,13,1.18,0.439,0.001,0.334,0.335,131.75,0.8558,1.2,408,0.0,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.1,subgraph_mip,blended_union,1,343,1105,36,3.26,0.439,0.012,2.578,2.59,17.05,0.8619,1.92,484.48,18.75,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.1,subgraph_mip,diverse,1,343,1105,13,1.18,0.439,0.004,0.355,0.359,122.89,0.8558,1.2,408,0.0,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.1,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.439,0.004,1.453,1.458,30.29,0.8619,1.92,484.48,18.75,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.1,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.439,0.005,1.427,1.431,30.85,1.1414,34.98,444.83,9.03,242,444.83,83.119,56.42,"[244.92, 242, 410.92, 444.83, 412.68, 401.5]","[1, 1, 2, 3, 4, 2]",13
assembly_1,6,0.1,subgraph_mip,combined,2,343,1105,30,2.71,0.439,0.008,0.813,0.821,53.79,0.8619,1.92,484.48,18.75,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
