instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,2,0.9,adaptive,1,343,1105,31,2.81,31,0.244,0.013,0.057,0.07,0.843,0.8329,1.21,,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,2,343,1105,36,3.26,5,0.244,0.018,0.072,0.09,0.843,0.8329,1.21,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,3,343,1105,42,3.8,6,0.244,0.038,0.08,0.118,0.843,0.8329,1.21,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,4,343,1105,45,4.07,3,0.244,0.042,0.095,0.138,0.843,0.8329,1.21,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,6,343,1105,52,4.71,7,0.244,0.045,0.08,0.125,0.843,0.8329,1.21,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,8,343,1105,61,5.52,9,0.244,0.061,0.098,0.159,0.843,0.8329,1.21,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,12,343,1105,71,6.43,10,0.244,0.073,0.145,0.218,0.843,0.8329,1.21,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,16,343,1105,82,7.42,11,0.244,0.135,0.209,0.345,0.843,0.8329,1.21,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,24,343,1105,93,8.42,11,0.244,0.133,0.324,0.458,0.843,0.8329,1.21,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,32,343,1105,109,9.86,16,0.244,0.243,0.301,0.544,0.843,0.8329,1.21,-0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,
assembly_1,2,0.9,adaptive,48,343,1105,246,22.26,137,0.244,0.244,0.536,0.78,0.843,0.8329,1.21,0.0,0.8361,0.8329,0.38,1092.52,1078.425,1.31,2.61,"[1092.52, 1064.33]","[6, 7]",13,10.0,stop_perc_graph
